"You created the order.","La commande a été créée."
"Order saving error: %1","Erreur lors de la sauvegarde de la commande : %1"
"Please choose a payment method.","Merci de sélectionner une méthode de paiement."
"Credit Card: xxxx-%1","Numéro de carte bancaire : xxxx-%1"
"amount %1","montant %1"
authorize,autoriser
"authorize and capture","autoriser et collecter"
capture,collecter
refund,rembourser
void,vide
"Gateway error: %1","Erreur de la passerelle : %1"
"Invalid amount for capture.","Montant de capture invalide."
"Payment capturing error.","Erreur de capture de paiement."
"Invalid transaction ID.","Identifiant de transaction invalide."
"Payment voiding error.","Erreur lors de l'annulation de paiement."
"Invalid amount for refund.","Montant invalide pour le remboursement."
"Payment refunding error.","Erreur de remboursement de paiement."
"Authorize Only","Autorisation seulement"
"Authorize and Capture","Autorisation et collecte"
"Credit Card Type","Type de carte de crédit"
"Credit Card Number","Numéro de carte bancaire"
"Expiration Date","Date d'expiration"
"Card Verification Number","Numéro de vérification"
"Authorize.net Direct Post","Soumission directe Authorize.net"
Enabled,Activé
"Payment Action","Action de paiement"
Title,Titre
"API Login ID","ID de connexion de l'API"
"Transaction Key","Clé de la transaction"
"Merchant MD5","MD5 du commerçant"
"New Order Status","Statut d'une nouvelle commande"
"Test Mode","Mode test"
"Gateway URL","URL de passerelle"
"Accepted Currency","Devise acceptée"
Debug,Déboguage
"Email Customer","Envoyer un email au client"
"Merchant's Email","Email du commerçant"
"Credit Card Types","Types de cartes de paiement"
"Credit Card Verification","Vérification de carte de paiement"
"Payment from Applicable Countries","Mode de paiement autorisé pour"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Minimum Order Total","Montant mini de commande"
"Maximum Order Total","Montant maxi de commande"
"Sort Order","Ordre de tri"
