"System Backup","Sauvegarde système"
"Database and Media Backup","Sauvegarde de base de données et media"
"Database Backup","Sauvegarde de base de données"
Backups,Sauvegardes
System,Système
Tools,Outils
Backup,Sauvegarde
failed,Échec
successful,réussi
Database,"Base de données"
"We can't save the Cron expression.","Impossible de sauvegarder l'expression de la tâche programmée."
"Backup Name","Nom de la sauvegarde"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Veuillez utiliser uniquement des lettres (a-z), des chiffres (0-9) ou des espaces dans ce champ."
"Maintenance mode","Mode de maintenance"
Exclude,Exclure
"Exclude media folder from backup","Exclure le dossier media de la sauvegarde"
"This action cannot be undone.","Cette action ne peut pas être annulée."
"User Password","Mot de passe utilisateur"
"Use FTP Connection","Utiliser une connexion FTP"
"FTP credentials","Informations de connexion FTP"
"FTP Host","Hôte FTP"
"FTP Login","Login FTP"
"FTP Password","Mot de passe FTP"
"Magento root directory","Répertoire racine de Magento"
"Create Backup","Créer une sauvegarde"
"Scheduled Backup Settings","Paramètres de sauvegarde programmée"
"Enable Scheduled Backup","Activer la sauvegarde programmée"
"Backup Type","Type de sauvegarde"
"Start Time","Heure de début"
Frequency,Fréquence
"Maintenance Mode","Mode de maintenance"
Delete,Supprimer
"Are you sure you want to delete the selected backup(s)?","Êtes-vous sûr(e) de vouloir effacer les sauvegardes sélectionnées ?"
Time,Heure
Name,Nom
Type,Type
Download,Télécharger
Action,Action
Rollback,"Retour arrière (rollback)"
