Always,Toujours
"After number of attempts to login","Après un nombre de tentatives de connexion"
"Provided form does not exist","Le formulaire spécifié n'existe pas."
"Incorrect CAPTCHA","CAPTCHA incorrect"
"Incorrect CAPTCHA.","CAPTCHA incorrect."
"Please enter the letters from the image","Merci de saisir les lettres affichées sur l'image"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attention</strong> : le captcha est sensible à la casse."
"Reload captcha","Recharger le captcha"
"Please type the letters below","Veuillez saisir les lettres ci-dessous"
CAPTCHA,CAPTCHA
"Enable CAPTCHA in Admin","Activer le CAPTCHA dans l'admin"
Font,Police
Forms,Formulaires
"Displaying Mode","Mode d'affichage"
"Number of Unsuccessful Attempts to Login","Nombre d'essais infructueux"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Si 0 est choisi, le CAPTCHA sera toujours disponible dans le formulaire de connexion."
"CAPTCHA Timeout (minutes)","Délai d'attente du CAPTCHA (minutes)"
"Number of Symbols","Nombre de symboles"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Spécifiez au maximum 8 symboles. Les tranches sont acceptées (par ex. 3-5)"
"Symbols Used in CAPTCHA","Symboles utilisés dans le CAPTCHA"
"
                        Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.
                    ","Merci de n'utilisez uniquement que des lettres (a-z ou A-Z) ou des chiffres (0-9) dans ce champ. Les espaces ou autres caractères ne sont pas autorisés.<br />Les caractères semblables (par exemple ""i"", ""L"", ""1"") diminuent les chances de reconnaissance correcte par le client."
"Case Sensitive","Sensible à la casse"
"Enable CAPTCHA on Storefront","Activer CAPTCHA sur le front office"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","Le CAPTCHA sera toujours activé sur les formulaires ""Créer un utilisateur"" et ""Mot de passe perdu"" s'il est activé."
