Root,Racine
"Save Category","Sauvegarder la catégorie"
"Delete Category","Supprimer cette catégorie"
Reset,Réinitialiser
"New Subcategory","Nouvelle sous-catégorie"
"New Root Category","Nouvelle catégorie racine"
"Set Root Category for Store","Renseigner la catégorie racine pour la boutique"
"Use Config Settings","Utiliser les paramètres de la configuration"
"Use All Available Attributes","Utiliser tous les attributs disponibles"
"Custom Design","Design personnalisé"
ID,ID
Name,Nom
SKU,Réf.
Price,Prix
Position,Position
"Category Data","Données de catégorie"
"Category Products","Produits de la catégorie"
"Add Subcategory","Ajouter une sous-catégorie"
"Add Root Category","Ajouter une catégorie racine"
Day,Jour
Month,Mois
Year,Année
[GLOBAL],[GLOBAL]
[WEBSITE],"[SITE WEB]"
"[STORE VIEW]","[VUE MAGASIN]"
"WYSIWYG Editor","Éditeur WYSIWYG"
"Add Product","Ajouter un produit"
label,libellé
"Product Attributes","Attributs de produit"
"Add New Attribute","Ajouter un attribut"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Save Attribute","Sauvegarder l'attribut"
"Delete Attribute","Supprimer l'attribut"
"Edit Product Attribute ""%1""","Éditer l'attribut produit ""%1"""
"New Product Attribute","Nouvel attribut produit"
"Attribute Code",Code
"Default Value","Valeur par défaut"
"Unique Value","Valeur unique"
"Unique Value (not shared with other products)","Valeur unique (non partagée avec les autres produits)"
"Not shared with other products","Non partagé avec les autres produits"
"Input Validation for Store Owner","Validation requise"
"Store View","Vue magasin"
Website,"Site web"
Global,GLOBAL
Scope,Portée
"Declare attribute value saving scope","Déclarer la portée d'économie de valeurs d'attributs"
"Storefront Properties","Propritétés du front office"
"Use for Promo Rule Conditions","Utiliser pour les conditions de règles de promotions"
"Enable WYSIWYG","Activer l'éditeur WYSIWYG"
"Used in Product Listing","Utiliser dans les listes de produits"
"Depends on design theme","Dépendant du thème de design"
"Used for Sorting in Product Listing","Utiliser pour le tri des listes de produits"
"Media Image",Image
Gallery,Galerie
"System Properties","Propriétés système"
No,Non
Yes,Oui
