"Please specify a website.","Merci de spécifier un site web."
"Please specify an email.","Merci de spécifier un email."
"We found an invalid value in a website column.","Valeur invalide dans la colonne ""website"""
"Please enter a valid email.","Veuillez saisir une adresse email valide."
"Please make sure attribute ""%s"" is not empty.","Merci de vérifier que l'attribut ""%s"" n'est pas vide."
"We can't find a customer who matches this email and website code.","Aucun client trouvé avec cette combinaison ""Email/Site web"""
"Customer address id column is not specified","La colonne ""ID Adresse Client"" n'est pas spécifiée."
"We can't find that customer address.","Adresse client introuvable."
"Please enter a valid region.","Merci de renseigner une région valide."
"We found another row with this email, website and address ID combination.","Nous avons trouvé un autre enregistrement avec la combinaison de cet email, site web et ID d'adresse."
"This email is found more than once in the import file.","Cette adrresse email est présente plusieurs fois dans le fichier d'import."
"Orphan rows that will be skipped due default row errors","Lignes ophelines qui seront ignorées en raison d'erreurs"
"Invalid value in Store column (store does not exists?)","Valeur invalide dans la colonne ""Magasin"" (le magasin n'existe peut-être pas ?)"
"We can't find that email and website combination.","Impossible de trouver cette combinaison ""Email/Site web""."
"Please enter a password with a valid length.","Merci de renseigner un mot de passe avec une longueur valide."
CSV,CSV
"Excel XML","XML d'Excel"
