"Sign Out",Déconnexion
"Sign In",Connexion
"You have not set a default shipping address.","Vous n'avez pas spécifié d'adresse de livraison par défaut."
"You have not set a default billing address.","Vous n'avez pas spécifié d'adresse de facturation par défaut."
"Address Book","Carnet d'adresses"
"Edit Address","Éditer l'adresse"
"Add New Address","Ajouter une nouvelle adresse"
region,région
"Create Order","Créer une commande"
"Save Customer","Sauvegarder le client"
"Delete Customer","Supprimer le client"
"Reset Password","Réinitialiser le mot de passe"
"New Customer","Nouveau client"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
Back,Retour
"Please select","Veuillez sélectionner"
Reset,Réinitialiser
ID,ID
Product,Produit
SKU,Réf.
Quantity,Quantité
Price,Prix
Total,Total
Action,Action
Configure,Configurer
Delete,Supprimer
"Shopping Cart from %1","Panier de %1"
Newsletter,Newsletter
"Newsletter Information","Informations newsletter"
"Last Date Subscribed","Date de dernière inscription"
"Last Date Unsubscribed","Date de dernière désinscription"
"No Newsletter Found","Pas de newsletter"
"Start date","Date de début"
Subject,Sujet
Status,Statut
Sent,Envoyé
Cancel,Annuler
"Not Sent","Pas envoyé"
Sending,"Envoi en cours"
Paused,Arrêté
View,Voir
Unknown,Inconnu
Order,Commande
"Order Total","Total de la commande"
"Customer View","Vue client"
Qty,Qté
Confirmed,Confirmé
"The customer does not have default billing address.","Le client n'a pas d'adresse de facturation par défaut."
Offline,Déconnecté
Online,"En ligne"
Never,Jamais
"Deleted Stores","Magasins effacés"
No,Non
Yes,Oui
"Delete File","Supprimer le fichier"
Download,Télécharger
"Delete Image","Effacer l'image"
"View Full Size","Voir en pleine taille"
"All countries","Tous les pays"
"Customer Groups","Groupes clients"
"Add New Customer Group","Ajouter un nouveau groupe de clients"
"Save Customer Group","Sauvegarder le groupe clients"
"Delete Customer Group","Supprimer le groupe de clients"
"New Customer Group","Nouveau groupe de clients"
"Edit Customer Group ""%1""","Éditer le groupe clients ""%1"""
"Group Information","Informations du groupe"
"Group Name","Nom de groupe"
"Maximum length must be less then %1 symbols","La longueur maximale est de %1 symboles"
"Tax Class","Classe de TVA"
"Would you like to change the Customer Group for this order?","Souhaitez-vous changer le groupe client pour cette commande ?"
"The VAT ID entered (%s) is not a valid VAT ID.","Le numéro de TVA saisi (%s) n'est pas un numéro de TVA valide."
"The VAT ID is valid. The current Customer Group will be used.","Le numéro de TVA est valide. Le groupe client en cours sera utilisé."
"Validate VAT Number","Valider le numéro de TVA"
"Customer Login","Identifiant client"
"Create New Customer Account","Créer un nouveau compte client"
"Date of Birth","Date de naissance"
"Bad request.","Non trouvé."
"Thank you for registering with %1.","Merci de votre inscription sur %1."
"This email does not require confirmation.","Cet email ne nécessite pas de confirmation."
"Wrong email.","Email erroné."
"Your password reset link has expired.","Le lien de réinitialisation de mot de passe a expiré."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Il existe déjà un compte pour cet email. Si vous êtes sûr d'avoir correctement saisi votre email, <a href=""%1"">cliquez ici</a> pour récupérer votre mot de passe et accéder à votre compte."
"Please make sure your passwords match.","Vérifiez que vos mots de passe concordent."
"Account Information","Informations du compte"
"Please enter your email.","Saisissez votre email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","S'il y a un compte associé à l'adresse %1, vous recevrez un email avec un lien pour réinitialiser votre mot de passe."
"My Account","Mon compte"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Ce compte n'a pas encore été confirmé. <a href=""%1"">Cliquez ici</a> Pour envoyer un nouvel email de confirmation."
"Invalid login or password.","Identifiant ou mot de passe invalide."
"No customer ID defined.","Aucun id de client n'a été défini."
Customers,Clients
"New Group","Nouveau groupe"
"New Customer Groups","Nouveaux groupes de clients"
"Edit Group","Éditer le groupe"
"Edit Customer Groups","Éditer les groupes de client"
"Please select customer(s).","Sélectionnez au moins un client."
"Manage Customers","Gérer les clients"
"Please correct the data sent.","Merci de corriger les données envoyées."
"Page not found.","Page introuvable."
"Online Customers","Clients en ligne"
"This account is not confirmed.","Ce compte n'est pas confirmé."
"Please enter the first name.","Veuillez renseigner le prénom."
"Please enter the last name.","Veuillez renseigner le nom de famille."
"Please enter the street.","Veuillez renseigner la rue."
"Please enter the city.","Veuillez renseigner la ville."
"Please enter the zip/postal code.","Veuillez renseigner le code postal."
"Please enter the country.","Veuillez renseigner le pays."
"Please enter the state/province.","Veuillez renseigner le département."
"""%1"" is a required value.","""%1"" est une valeur obligatoire."
Global,GLOBAL
"Per Website","Par site web"
"Billing Address","Adresse de facturation"
"Shipping Address","Adresse de livraison"
