State/Province,État/Région
"--Please Select--","--Votre choix--"
lbs,lbs
kgs,kgs
"Requested country is not available.","Le pays demandé n'est pas disponible."
"Please correct the target currency.","Merci de corriger la devise cibles."
"Undefined rate from ""%1-%2"".","Taux indéfini depuis ""%1-%2""."
label,libellé
"We can't retrieve a rate from %1.","Impossible de récurérer le taux pour %1."
"FATAL ERROR:","ERREUR FATALE :"
"We can't initialize the import model.","Impossible d'initialiser le modèle d'importation."
"Please specify the correct Import Service.","Merci de spécifier un service d'importation valide."
WARNING:,"ATTENTION :"
"Please correct the country code: %1.","Merci de corriger le code pays : %1."
"Country and Format Type combination should be unique","La combinaison Pays et Type de format doit être unique"
"Please correct the rates received","Veuillez corriger les taux récupérés"
"Please select a region, state or province.","Merci de sélectionner une région, une état ou une province."
Currency,Devise
"Your current currency is: %1.","La devis actuelle est : %1."
Continue,Continuer
"Currency Update Warnings","Alertes de mise à jour des devises"
"Currency Setup","Paramétrage des devises"
"Currency Options","Options de devise"
"Base Currency","Devise de base"
"
                        Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").
                    ","La devis de base est utilisé dans toutes les paiements en ligne. Si vous avez plusieurs vues magasin, la portée de la devise de base est définie par la portée des prix catalogue (""Catalogue"" > ""Prix"" > ""Portée des prix catalogue"")."
"Default Display Currency","Devise à afficher par défaut"
"Allowed Currencies","Devises autorisées"
Webservicex,Webservicex
"Connection Timeout in Seconds","Timeout de connexion"
"Scheduled Import Settings","Paramètres d'import programmé"
Enabled,Activé
"Error Email Recipient","Destinataire du mail d'erreur"
"Error Email Sender","Expéditeur du mail d'erreur"
"Error Email Template","Gabarit du mail d'erreur"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Le template d'email choisi est basé sur le thème parent lorsque l'option ""Défaut"" est sélectionnée."
Frequency,Fréquence
Service,Service
"Start Time","Heure de début"
"Installed Currencies","Devises installées"
"Zip/Postal Code is Optional for","Le code postal est optionnel pour"
"State Options","Options des états"
"State is Required for","L'état est obligatoire pour"
"Allow to Choose State if It is Optional for Country","Afficher l'état s'il n'est pas obligatoire"
"Weight Unit","Unité de poids"
