"Grouped Products","Produits groupés"
"Please specify the quantity of product(s).","Spécifiez la quantité de produit(s)."
"Cannot process the item.","Impossible de traiter l'élément."
"Associated Products","Produits associés"
Availability:,"Disponibilité :"
"Out of stock",Épuisé
ID,ID
SKU,Réf.
"Product Name","Nom du produit"
Price,Prix
Qty,Qté
"No options of this product are available.","Aucune option n'est disponible pour ce produit."
"There are no grouped products.","Il n'y a pas de produits groupés."
Name,Nom
"Default Qty","Qté par défaut"
"Starting at","À partir de"
Availability,Disponibilité
"In stock","En stock"
"Grouped product items","Articles du produit groupé"
"Add Products to Group","Ajouter des produits au groupe"
"Add Selected Products","Ajouter les produits sélectionnés"
"Grouped Product Image","Image de produit groupé"
