Country,Pays
Region/State,Région/État
"Zip/Postal Code","Code postal"
"Shipping Price","Tarif de livraison"
"Export CSV","Exporter en CSV"
"Store Pickup","Retrait en magasin"
"Weight vs. Destination","Poids par destination"
"Price vs. Destination","Prix par destination"
"# of Items vs. Destination","Nombre d'articles par destination"
"Weight (and above)","Poids (et au-delà)"
"Order Subtotal (and above)","Sous-total de la commande (et au-delà)"
"# of Items (and above)","Nombre d'articles (et au-delà)"
"Please correct Table Rate code type: %1.","Merci de corriger la tarification pour le type %1."
"Please correct Table Rate code for type %1: %2.","Merci de corriger la tarification du type %1 : %2."
None,Aucun
"Per Order","Par commande"
"Per Item","Par article"
"Please correct Table Rates File Format.","Merci de corriger le format de fichier de la tarification."
"Something went wrong while importing table rates.","Une erreur s'est produite durant l'importation de la tarification."
"We couldn't import this file because of these errors: %1","Impossible d'importer ce fichier à cause des erreurs suivantes : %1."
"Please correct Table Rates format in the Row #%1.","Merci de corriger le format de la tarification à la ligne #%1."
"Please correct Country ""%1"" in the Row #%2.","Merci de corriger le pays ""%1"" à la ligne #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Merci de corriger la région/état ""%1"" à la ligne #%2."
"Please correct %1 ""%2"" in the Row #%3.","Merci de corriger %1 ""%2"" à la ligne #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Merci de corriger le prix de la livraison ""%1"" de la ligne #%2."
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Ligne #%1 dupliquée (Pays ""%2"", Région/Etat ""%3"", Code postal ""%4"" et valeur ""%5"")"
"Free Shipping","Livraison gratuite"
No,Non
"For matching items only","Pour les objets concordants seulement"
"For shipment with matching items","Pour les expéditions avec articles concordants"
"Flat Rate","Tarif unique"
Enabled,Activé
"Method Name","Nom de méthode"
Price,Prix
"Calculate Handling Fee","Calculer les frais de dossier"
"Handling Fee","Frais de traitement"
"Sort Order","Ordre de tri"
Title,Titre
Type,Type
"Ship to Applicable Countries","Livrer aux pays applicables"
"Ship to Specific Countries","Livrer aux pays spécifiques"
"Show Method if Not Applicable","Afficher le mode s'il n'est pas applicable"
"Displayed Error Message","Message d'erreur affiché"
"Table Rates",Tarification
Condition,Condition
"Include Virtual Products in Price Calculation","Inclure les produits virtuels dans le calcul de prix"
Export,Exporter
Import,Importer
"Minimum Order Amount","Montant de commande minimum"
