"We cannot retrieve the payment method model object.","Impossible de retrouver le modèle de l'objet de la méthode de paiement."
Month,Mois
Year,Année
"We cannot retrieve the payment info model object.","Impossible de retrouver le modèle de l'objet des infos du paiement."
N/A,N/A
"Credit Card Type","Type de carte de crédit"
"Credit Card Number","Numéro de carte bancaire"
"Switch/Solo/Maestro Issue Number","Numéro de problème Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Date de début Switch/Solo/Maestro"
"We cannot retrieve the transparent payment method model object.","Impossible de retourver le modèle de l'objet le la méthode de paiement transparente."
"Command %1 does not exist.","La commande %1 n'existe pas."
"Wrong gateway response format.","Mauvais format de réponse de la passerelle."
"Validator for field %1 does not exist.","Le validateur pour le champ %1 n'existe pas."
Discount,Remise
Shipping,Livraison
"All Allowed Countries","Tous les pays autorisés"
"Specific Countries","Certains pays"
"The payment method you requested is not available.","La méthode de paiement demandée n'est pas disponible."
"The payment disallows storing objects.","Cette méthode de paiement interdit le stockage d'objets."
"We cannot retrieve the payment method code.","Impossible de retrouver le code de la méthode de paiement."
"We cannot retrieve the payment information object instance.","Impossible de retrouver l'intance de l'objet de l'information de paiement."
"You can't use the payment type you selected to make payments to the billing country.","Vous ne pouvez pas utiliser la méthode de paiement choisie pour ce pays de facturation."
"The order action is not available.","L'action de commande n'est pas disponible."
"The authorize action is not available.","L'action d'autorisation n'est pas disponible."
"The capture action is not available.","L'action de capture n'est pas disponible."
"The refund action is not available.","L'action de remboursement n'est pas disponible."
"The void action is not available.","L'action d'annulation n'est pas disponible."
"The payment review action is unavailable.","L'action de commentaire de paiement n'est pas disponible."
"The credit card number doesn't match the credit card type.","Le numéri de la carte bancaire ne correspond pas à son type."
"Invalid Credit Card Number","Numéro de carte bancaire invalide"
"This credit card type is not allowed for this payment method.","Ce type de carte de crédit n'est pas autorisé pour ce mode de paiement."
"Please enter a valid credit card verification number.","Veuillez saisir un numéro de vérification de carte bancaire valide."
"Please enter a valid credit card expiration date.","Veuillez vérifier la date d'expiration de la carte bancaire."
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","La classe %1 n'implémente pas \Magento\Payment\Model\MethodInterface"
Yes,Oui
No,Non
"Expiration Date","Date d'expiration"
"Card Verification Number","Numéro de vérification"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro seulement"
"Issue Number","Numéro de problème"
"Start Date","Date de début"
" is not available. You still can process offline actions."," n'est pas disponible. Vous pourrez toujours effectuer ces actions hors ligne."
"Please Select","Veuillez sélectionner"
"We'll ask for your payment details before you place an order.","Vous devrez renseigner vos informations de paiement avant de confirmer votre commande."
"--Please Select--","--Votre choix--"
"Card Verification Number Visual Reference","Référence visuelle numérique de vérification de carte"
"What is this?","Aide ?"
"Credit Card Information","Information de carte bancaire"
"Payment Methods","Modes de paiement"
