"Billing Agreements","Ententes de facturation"
ID,ID
Email,Email
"First Name",Prénom
"Last Name",Nom
"Reference ID","Réference ID"
Status,Statut
N/A,N/A
Updated,"Mis à jour"
Back,Retour
"Are you sure you want to do this?","Êtes-vous sûr(e) de vouloir effectuer cette opération ?"
Cancel,Annuler
"Billing Agreement #%1","Entente de facturation n°%1"
"General Information","Informations générales"
"Related Orders","Les commandes connexes"
Order,Commande
"Order Total","Total de la commande"
"Billing Agreement View","Vue de l'entente de facturation"
"View Transaction Details","Voir les détails des transactions"
"Reference Information","Information sur la référence"
"Transaction Information","Information sur les transactions"
"PayPal Fee Information","Renseignements sur les frais PayPal"
"PayPal Settlement Reports","Rapports de règlements PayPal"
"Fetch Updates","Mises à jour chercher"
Help,Aide
Configure,Configurer
Close,Fermer
"Learn More","En savoir plus"
"View Demo","Voir la Demo"
"You will be redirected to the PayPal website.","Vous allez être redirigé vers le site PayPal."
"You will be redirected to the PayPal website when you place an order.","Vous serez redirigé vers le site de PayPal à l'issue de votre commande."
"Incl. Tax",TTC
"Billing Information","Informations de facturation"
"Shipping Information","Informations de livraison"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Souhaitez-vous signer une entente de facturation afin de rationaliser vos futurs achats avec PayPal ?"
Reports,Rapports
Sales,Ventes
"View Transaction","Voir la transaction"
"The billing agreement ""%1"" has been canceled.","L'entente de facturation ""%1"" a été annulée."
"The billing agreement ""%1"" has been created.","L'entente de facturation ""%1"" a été créée."
"Billing Agreement # %1","Entente de facturation n°%1"
"PayPal Express Checkout Token does not exist.","Le jeton PayPal Express n'existe pas."
"Express Checkout and Order have been canceled.","Le paiement Express Chackout et la commande ont été annulés."
"Express Checkout has been canceled.","Le paiement Express Checkout a été annulé."
"Please agree to all the terms and conditions before placing the order.","Veuillez accepter les conditions générales de ventes avant de valider la commande."
"PayPal response hasn't required fields.","La réponse de PayPal ne comporte pas les champs obligatoires."
"PayPal gateway has rejected request. %1","La passerelle PayPal a rejeté la demande. %1"
"Unable to save Billing Agreement:","Impossible de sauvegarder le contrat de facturation :"
Active,Actif
Canceled,Annulée
"We prefer PayPal (150 X 60)","Nous préférons PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","Nous préférons PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Nous acceptons désormais PayPal (150 X 60)"
"Now accepting PayPal (150 X 40)","Nous acceptons désormais PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Paiements par PayPal (150 X 60)"
"Payments by PayPal (150 X 40)","Paiements par PayPal (150 X 40)"
"Shop now using (150 X 60)","Magasin utilisant maintenant (150 X 60)"
