"Add New Rule","Ajouter une nouvelle règle"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Edit Rule '%1'","Éditer la règle '%1'"
"New Rule","Nouvelle règle"
"Rule Information","Informations règle"
Actions,Actions
Apply,Appliquer
"Percent of product price discount","Remise en pourcentage du prix du produit"
"Fixed amount discount","Remise d'une valeur fixe"
"Fixed amount discount for whole cart","Remise d'un montant fixe pour l'ensemble du panier"
"Buy X get Y free (discount amount is Y)","X achetés, Y gratuits (la valeur de la remise est Y)"
"Discount Amount",Remise
"Maximum Qty Discount is Applied To","Qté maxi à laquelle la remise est appliquée"
"Discount Qty Step (Buy X)","Quantité pour obtenir la remise (Achetez-en X)"
"Apply to Shipping Amount","Appliquer au montant de la livraison"
Yes,Oui
No,Non
"Apply To","S'applique à"
Conditions,Conditions
"Manage Coupon Codes","Gérer les codes de bons de réduction"
"Coupons Information","Informations sur les bons de réduction"
"Coupon Qty","Qté de bons de réduction"
"Code Length","Longueur du code"
"Excluding prefix, suffix and separators.","En excluant le préfixe, le suffixe et les séparateurs."
"Code Format","Format du code"
"Code Prefix","Préfixe de code"
"Code Suffix","Suffixe de code"
"Dash Every X Characters","Ajouter un trait tous les X caractères"
"If empty no separation.","Si vide, aucune séparation."
Generate,Générer
"Coupon Code","Code du bon de réduction"
Uses,"Nombre d'utilisations"
"Times Used","Nombre d'utilisations"
CSV,CSV
"Excel XML","XML d'Excel"
Delete,Supprimer
"Are you sure you want to delete the selected coupon(s)?","Êtes-vous sûr(e) de vouloir effacer les bons de réduction sélectionnés ?"
Labels,Libellés
"Default Label","Libellé par défaut"
"Default Rule Label for All Store Views","Libellé de règle par défaut pour toutes les vues magasin"
"Store View Specific Labels","Libellés spécifiques par vue magasin"
"General Information","Informations générales"
"Rule Name","Nom de la règle"
Description,Description
Status,Statut
Active,Actif
Inactive,Inactif
Websites,"Sites web"
"Customer Groups","Groupes clients"
Coupon,"Bon de réduction"
"Use Auto Generation","Utiliser la génération automatique"
"If you select and save the rule you will be able to generate multiple coupon codes.","Si vous sélectionnez et enregistrez la règle, vous pourrez générer des codes de bons de réductions."
"Uses per Coupon","Nombre d'utilisations par coupon"
"Uses per Customer","Nombre d'utilisations par client"
From,De
To,À
Priority,Priorité
"Public In RSS Feed","Public dans le flux RSS"
ID,ID
Start,Commencer
"%1 - Discounts and Coupons","%1 - Remises et coupons"
Coupons/Discounts,Coupons/Réductions
Promotions,Promotions
"This rule no longer exists.","Cette règle n'existe plus."
"Edit Rule","Éditer la règle"
"Rule is not defined","La règle n'est pas définie"
Catalog,Catalogue
Alphanumeric,Alphanumérique
Alphabetical,Alphabétique
Numeric,Numérique
"Discount (%1)","Remise (%1)"
Discount,Remise
"Coupon with the same code","Coupon de réduction avec le même code"
"No Coupon","Pas de coupon de réduction"
"Specific Coupon","Bon de réduction spécifique"
Auto,Auto
"Can't acquire coupon.","Impossible d'appliquer le bon."
"Update the Product","Mettre à jour le produit"
"Special Price","Prix spécial"
"To Fixed Value","Nouveau prix"
"To Percentage","Nouveau prix en %%"
"By Fixed value","Remise d'une valeur fixe"
"By Percentage","Remise en %%"
"Update product's %1 %2: %3","Mettre à jour le %1 du produit %2 : %3"
Subtotal,Sous-total
"Total Items Quantity","Quantité totale d'articles"
"Total Weight","Poids total"
"Payment Method","Mode de paiement"
"Shipping Method","Mode de livraison"
"Shipping Postcode","Code postal de livraison"
"Shipping Region","Région de livraison"
"Shipping State/Province","État/région de livraison"
"Shipping Country","Pays de livraison"
"Product attribute combination","Combinaison d'attributs de produit"
"Products subselection","Sous-sélection de produits"
"Conditions combination","Combinaison de conditions"
"Cart Attribute","Attribut de panier"
"Quantity in cart","Quantité dans le panier"
"Price in cart","Prix dans le panier"
"Row total in cart","Total de la ligne du panier"
"Conditions Combination","Combinaison de conditions"
"Cart Item Attribute","Attribut d'article panier"
"Product Attribute","Attribut du produit"
FOUND,"PRÉSENT DANS LE"
"NOT FOUND","ABSENT DU"
"If an item is %1 in the cart with %2 of these conditions true:","Si un article est %1 panier et qu'il répond à %2 ces conditions :"
"total quantity","quantité totale"
"total amount","montant total"
is,"est égal(e) à"
"is not","est différent(e) de"
"equals or greater than","est supérieur(e) ou égal(e) à"
"equals or less than","est inférieur(e) ou égal(e) à"
"greater than","est supérieur(e) à"
"less than","est inférieur(e) à"
"is one of","fait partie de"
"is not one of","ne fait pas partie de"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Si %1 %2 %3 pour une sous-sélection d'articles dans le panier répondant à %4 ces conditions :"
"Auto Generated Specific Coupon Codes","Codes de bons de réduction spécifiques générés automatiquement"
"Web Site","Site Web"
