"Page not found.","Page introuvable."
"You can't send messages more than %1 times an hour.","Vous ne pouvez pas envoyer ces messages plus de %1 fois par heure."
"The link to a friend was sent.","Le lien à un ami a été envoyé."
"We found some problems with the data.","Il y a des erreurs avec les données."
"Some emails were not sent.","Certains emails n'ont pas été envoyés."
"You've met your limit of %1 sends in an hour.","Vous avez atteind la limite d'envoi qui est de %1 fois par heure."
"Please enter a sender name.","Merci de renseigner un nom d'expéditeur."
"Invalid Sender Email","Nom d'expéditeur invalide."
"Please enter a message.","Merci de renseigner un message."
"Please specify at least one recipient.","Merci de renseigner au moins un destinataire."
"Please enter a correct recipient email address.","Merci de vérifier l'adresse email du destinataire."
"No more than %1 emails can be sent at a time.","Il n'est pas possible d'envoyer plus de %1 emails à la fois."
"Please define a correct product instance.","Définissez une instance de produit correcte."
"Invalid Sender Information","Les informations de l'expéditeur sont invalides"
"Please define the correct sender information.","Définissez correctement les informations de l'expéditeur."
"IP Address","Adresse IP"
"Cookie (unsafe)","Cookie (non sécurisé)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
Exception.,Exception.
"Remove Recipent","Supprimer le destinataire"
Remove,Supprimer
Name,Nom
Email,Email
"* Required Fields","* Champs obligatoires"
Sender,Expéditeur
Message,Message
Invitee,Destinataire
"Maximum %1 email addresses allowed.","%1 adresses mail maxi autorisées."
"Add Invitee","Ajouter un destinataire"
"Send Email","Envoyer un email"
Back,Retour
"%name,","%name,"
"%sender_name wants to share this product with you:","%sender_name voudrait partager ce produit avec vous :"
"Message from %sender_name:","Message de la part de %sender_name :"
"Email to a Friend","Envoyer à un ami"
"Email Templates","Gabarits d'email"
Enabled,Activé
"Select Email Template","Sélectionner le gabarit d'email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Le template d'email choisi est basé sur le thème parent lorsque l'option ""Défaut"" est sélectionnée."
"Allow for Guests","Autoriser pour les invités"
"Max Recipients","Nombre maxi de destinataires"
"Max Products Sent in 1 Hour","Nombre maxi de produits envoyés en 1 heure"
"Limit Sending By","Limiter l'envoi par"
