"Save & Generate","Sauvegarder & générer"
"Edit Sitemap","Éditer le plan de site"
"New Sitemap","Nouveau plan de site"
"Sitemap Information","Informations sur le plan du site"
Sitemap,"Plan de site"
Filename,"Nom de fichier"
"example: sitemap.xml","exemple : sitemap.xml"
Path,Chemin
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","exemple : ""/sitemap/"" ou ""/"" pour le chemin de base (le chemin doit être accessible en écriture"
"Store View","Vue magasin"
Generate,Générer
"XML Sitemap","Plan de site XML"
"Add Sitemap","Ajouter un plan du site"
Catalog,Catalogue
"You deleted the sitemap.","Le plan de site a été supprimé."
"We can't find a sitemap to delete.","Impossible de trouver le plan de site à supprimer."
"This sitemap no longer exists.","Ce plan de site n'existe plus."
"Site Map","Plan du site"
"New Site Map","Nouveau plan de site"
"The sitemap ""%1"" has been generated.","Le plan de site ""%1"" a bien été généré."
"We can't generate the sitemap right now.","Impossible de générer le plan de site."
"We can't find a sitemap to generate.","Impossible de trouver le plan de site à générer."
"You saved the sitemap.","Le plan de site a été sauvegardé."
"The priority must be between 0 and 1.","La priorité doit être comprise entre 0 et 1."
Always,Toujours
Hourly,"Toutes les heures"
Daily,Quotidien
Weekly,Hebdomadaire
Monthly,Mensuel
Yearly,Annuel
Never,Jamais
"File handler unreachable","Gestionnaire de fichiers inaccessible"
"Please define a correct path.","Merci de spécifier un chemin correct."
"Please create the specified folder ""%1"" before saving the sitemap.","Veuillez créer le répertoire ""%1"" avant d'enregistrer le plan de site."
"Please make sure that ""%1"" is writable by the web-server.","Merci de vérfier que ""%1"" est accessible en écriture par le serveur web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Merci de n'utiliser que des lettres (a-z ou A-Z), des nombres (0-9) ou des underscores (_) dans le nom du fichier. Les espaces ou autres caractères ne sont pas autorisés."
None,Aucun
"Base Only","Image de base uniquement"
All,Tous
"Sitemap Generation Warnings","Avertissements sur la génération du plan de site"
"Categories Options","Options pour les catégories"
Frequency,Fréquence
Priority,Priorité
"Valid values range from 0.0 to 1.0.","Les valeurs valides vont de 0.0 à 1.0."
"Products Options","Options pour les produits"
"Add Images into Sitemap","Ajouter les images au plan de site"
"CMS Pages Options","Options pour les pages CMS"
"Generation Settings","Paramètres généraux"
Enabled,Activé
"Error Email Recipient","Destinataire du mail d'erreur"
"Error Email Sender","Expéditeur du mail d'erreur"
"Error Email Template","Gabarit du mail d'erreur"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Le template d'email choisi est basé sur le thème parent lorsque l'option ""Défaut"" est sélectionnée."
"Start Time","Heure de début"
"Sitemap File Limits","Limites du fichier de plan de site"
"Maximum No of URLs Per File","Nbr maximal d'URL par fichier"
"Maximum File Size","Poids maximal du fichier"
"File size in bytes.","Poids du fichier en octets."
"Search Engine Submission Settings","Paramètres de soumission aux moteurs de recherche"
"Enable Submission to Robots.txt","Active la soumission dans le fichier robots.txt"
ID,ID
"Link for Google","Lien pour Google"
"Last Generated","Dernière génération"
Action,Action
