"Swatch Helper: not valid parameter for product instantiation","Helper de Swatch : paramètre invalide pour l'instanciation du produit"
"Admin is a required field in the each row","Le champ ""Admin"" est obligatoire pour chaque ligne"
"Update Product Preview Image","Mettre à jour l'image du produit"
"Filtering by this attribute will update the product image on catalog page","Filtrer par cet attribut mettra jour l'image du produit sur la page catalogue"
"Use Product Image for Swatch if Possible","Utilisez l'image du produit pour le Swatch si possible"
"Allows use fallback logic for replacing swatch image with product swatch or base image","Utilisez la logique de fallback pour remplacer l'image de swatch avec le scatch du produit ou l'image de base"
"Visual Swatch","Visuel du Swatch"
"Text Swatch","Texte du Swatch"
"Manage Swatch (values of your attribute)","Gérer les Swatch (valeurs des attributs)"
"Is Default","Valeur par défaut"
"Add Swatch","Ajouter un Swatch"
"Sort Option","Option de tri"
Delete,Supprimer
Swatch,Swatch
"Step 2: Attribute Values","Étape 2 : valeurs d'attribut"
"Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.","Sélectionnez les valeurs pour chaque attribut à inclure pour ce produit. Chaque combinaison unique de valeurs créera une unique référence produit."
"Sort Variations","Trier les variations"
Options,Options
"Select All","Sélectionner tout"
"Deselect All","Tout désélectionner"
"Remove Attribute","Supprimer l'attribut"
"Save Option","Sauvegarder Option"
"Remove Option","Supprimer l'option"
"Create New Value","Créez une nouvelle valeur"
"Swatches per Product","Swatches par produit"
