"Tax Rate Information","Information sur le taux de taxe"
"Tax Identifier","Identifiant de taxe"
"Zip/Post is Range","Le code postal est une tranche"
"Zip/Post Code","Code postal"
"Range From","Tranche à partir de"
"Range To","Tranche jusqu'à"
State,État
Country,Pays
"Rate Percent",Taux
"Tax Titles","Titre pour la classe"
"Add New Tax Rate","Ajouter une nouvelle taxe"
Back,Retour
Reset,Réinitialiser
"Delete Rate","Supprimer le taux"
"Are you sure you want to do this?","Êtes-vous sûr(e) de vouloir effectuer cette opération ?"
"Save Rate","Sauvegarder le taux"
"Manage Tax Rules","Gérer les règles de taxes"
"Add New Tax Rule","Ajouter une nouvelle règle"
"Save Rule","Sauvegarder la règle"
"Delete Rule","Supprimer la règle"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Tax Rule Information","Information sur la règle de taxe"
Name,Nom
"Customer Tax Class","Classe de taxe client"
"Product Tax Class","Classes de taxe produit"
"Tax Rate","Taux de taxe"
Priority,Priorité
"Tax rates at the same priority are added, others are compounded.","Les taux de taxe avec la même priorité sont ajoutés. Les autres sont composés."
"Sort Order","Ordre de tri"
"Shipping Incl. Tax (%1)","Livraison TTC (%1)"
"Shipping Excl. Tax (%1)","Livraison HT (%1)"
"Subtotal (Excl.Tax)","Sous-total HT"
"Subtotal (Incl.Tax)","Sous-total TTC"
"Shipping & Handling (Excl.Tax)","Livraison et traitement (HT)"
"Shipping & Handling (Incl.Tax)","Livraison et traitement (TTC)"
"Grand Total (Excl.Tax)","Total (HT)"
"Grand Total (Incl.Tax)","Total (TTC)"
Sales,Ventes
Tax,"TVA & autres taxes"
"Manage Tax Rates","Gérer les taux des taxes"
"New Tax Rate","Nouveau taux"
"Tax Zones and Rates","Zones et taux des taxes"
"Edit Tax Rate","Éditer le taux de la taxe"
"Tax Rules","Règles de taxe"
"The tax rule has been deleted.","La règle de taxe a été supprimée."
"This rule no longer exists.","Cette règle n'existe plus."
"Edit Rule","Éditer la règle"
"New Rule","Nouvelle règle"
"Custom price if available","Prix personnalisé si disponible"
"Original price only","Prix original seulement"
"Shipping Address","Adresse de livraison"
"Billing Address","Adresse de facturation"
"Shipping Origin","Origine de livraison"
"No (price without tax)","Non (prix sans taxes)"
"Yes (only price with tax)","Oui (prix avec taxe seulement)"
"Both (without and with tax)","Les deux (avec et sans taxes)"
"Invalid attribute %1","Attribut invalide : %1"
Code,Code
"Grand Total (Excl. Tax)","Total (HT)"
"Grand Total (Incl. Tax)","Total (TTC)"
"Shipping (Excl. Tax)","Livraison (HT)"
"Shipping (Incl. Tax)","Livraison et traitement (TTC)"
"Subtotal (Excl. Tax)","Sous-total HT"
"Subtotal (Incl. Tax)","Sous-total TTC"
Subtotal,Sous-total
"Unit Price","Prix unitaire"
"Row Total","Total ligne"
Total,Total
"Before Discount","Avant remise"
"After Discount","Après remise"
"Excluding Tax",HT
"Including Tax",TTC
None,Aucun
"Including and Excluding Tax","HT et TTC"
"customer group","groupe de clients"
product,produit
"Excl. tax:","HT :"
"Incl. Tax",TTC
"Excl. Tax",HT
Note:,"Remarque :"
Save,Sauvegarder
"Add New Class","Ajouter une classe"
"Grand Total Excl. Tax","Total HT"
"Grand Total Incl. Tax","Total TTC"
"Tax Classes","Classes de taxe"
"Tax Class for Shipping","Classe de taxe pour la livraison"
"Calculation Settings","Paramètres de calcul"
"Tax Calculation Method Based On","Méthode de calcul de la taxe basée sur"
"Tax Calculation Based On","Calcul de taxe basé sur"
"Catalog Prices","Prix catalogue"
"Shipping Prices","Frais de port"
"Apply Customer Tax","Appliquer la taxe client"
"Apply Discount On Prices","Appliquer la remise sur les prix"
"Apply Tax On","Appliquer la taxe sur"
"Default Tax Destination Calculation","Estimation de calcul de la taxe par défaut"
"Default Country","Pays par défaut"
"Default State","État par défaut"
"Default Post Code","Code postal par défaut"
"Price Display Settings","Paramètres d'affichage du prix"
"Display Product Prices In Catalog","Afficher les prix des produits dans le catalogue"
"Display Shipping Prices","Afficher les prix de livraison"
"Shopping Cart Display Settings","Afficher les options du panier"
"Display Prices","Afficher les prix"
"Display Subtotal","Afficher le sous-total"
"Display Shipping Amount","Afficher le montant de l'expédition"
"Display Full Tax Summary","Afficher le résumé complet des taxes"
"Display Zero Tax Subtotal","Afficher le sous-total lorsqu'il est nul"
"Orders, Invoices, Credit Memos Display Settings","Paramètres d'affichage des commandes, factures et avoirs"
State/Region,État/Région
Rate,Taux
"Order Total","Total de la commande"
"Your credit card will be charged for","Votre carte de crédit sera débitée de"
