"Add Tax","Ajouter une taxe"
"Delete Tax","Supprimer la taxe"
"All Websites","Tous les sites web"
FPT,TFP
"We found a duplicate of website, country and state fields for a fixed product tax","Nous avons trouvé une duplication de site web, pays et état pour une taxe fixe de produit"
"Including FPT only","TFP incluses uniquement"
"Including FPT and FPT description","TFP incluses et description des TFP"
"Excluding FPT. Including FPT description and final price","TFP excluses. Description et prix final des TFP incluses"
"Excluding FPT","Hors TFP"
"Fixed Product Tax","Taxe Fixe de Produit"
"Excl. Tax",HT
Total,Total
"Incl. Tax",TTC
"Total Incl. Tax","Total TTC"
Website,"Site web"
Country/State,"Pays / État"
Tax,"TVA & autres taxes"
Action,Action
"Final Price","Prix final"
"Fixed Product Taxes","Taxes Fixes de Produit"
"Enable FPT","Activer les TFP"
"Display Prices In Product Lists","Afficher les prix dans la liste des produits"
"Display Prices On Product View Page","Afficher les prix dans les fiches produits"
"Display Prices In Sales Modules","Afficher les prix dans les modules de paiement"
"Display Prices In Emails","Afficher les prix dans les emails"
"Apply Tax To FPT","Appliquer la taxe au TFP"
"Include FPT In Subtotal","Inclure TFP dans le sous-total"
